1kp,Species,seqid
MHYG,Conyza canadensis,1829768851
DESP,Erigeron canadensis,1829768851
YRBQ,Flaveria angustifolia,1778128319
JEPE,Flaveria bidentis,1778128319
JYMN,Flaveria brownii,1778128319
BIDT,Flaveria cronquistii,1778128319
QXWF,Flaveria kochiana,1778128319
NVSO,Flaveria palmeri,1778128319
AQZD,Flaveria pringlei,1778128319
LYPZ,Flaveria pubescens,1778128319
UYED,Flaveria sonorensis,1778128319
ZCUA,Flaveria trinervia,1778128319
HXCD,Flaveria vaginata,1778128319
DUNJ,Helenium autumnale,1682360649
AFQQ,Inula helenium,1442329251
RFSD,Lactuca graminifolia,2127861636
DOVJ,Leontopodium alpinum,927372088
OAGK,Matricaria matricarioides,2091523901
BMSE,Senecio rowleyanus,2129650118
EYKJ,Silybum marianum,937547274
TEZA,Solidago canadensis,2018119039
DUQG,Tanacetum parthenium,1834967957
KFZY,Tragopogon castellanus,1102547909
DDRL,Tragopogon dubius,1102547909
KGJF,Tragopogon porrifolius,1102547909
FUPX,Tragopogon pratensis,1102547909
UBLN,Xanthium strumarium,2026153754
IZLO,Lobelia siphilitica,1267173675
IHPC,Platycodon grandiflorus,1237408246
HUQC,Scaevola mossambicensis,1583107752
IXVJ,Menyanthes trifoliata,1610618286
AUIP,Phelline lucida,1133408614
FXGI,Stylidium adnatum,1133408614
EMAL,Ehretia acuminata,2018123273
XVRU,Heliotropium calcicola,2018123273
OUER,Heliotropium convolvulaceum,2018123273
OEKO,Heliotropium filiforme,2018123273
ABEH,Heliotropium greggii,2018123273
NIGS,Heliotropium karwinskyi,2018123273
MZOB,Heliotropium mendocinum,2018123273
IDGE,Heliotropium racemosum,2018123273
DIHD,Heliotropium tenellum,2018123273
JWEY,Heliotropium tenuifolium,2018123273
MDJK,Heliotropium texanum,2018123273
SMUR,Lennoa madreporoides,1511242806
DKFZ,Mertensia paniculata,2018123273
YQIJ,Phacelia campanularia,2018123273
HANM,Pholisma arenarium,1511242774
FWBF,Alangium chinense,1747456266
BFJL,Cornus florida,1747454549
UZNH,Curtisia dentata,1747456782
OTAN,Deutzia scabra,2088258620
QURC,Dichroa febrifuga,1747456352
ZETY,Hydrangea quercifolia,2104506531
BTZX,Philadelphus inodorus,1747451979
VTLJ,Caiophora chuquitensis,1747452658
XONJ,Camptotheca acuminata,1267170587
VUSY,Nyssa ogeche,1747455234
ZJRC,Sambucus canadensis,1935447037
HLJG,Viburnum odoratissimum,1829768256
GSZA,Lonicera japonica,813423481
FFFY,Valeriana officinalis,1770690290
JTRM,Dipsacus asper,1511245115
QAUE,Actinidia chinensis,788229761
JEXA,Impatiens balsamifera,2120467650
YZGX,Cyrilla racemiflora,1942099072
PIYM,Galax urceolata,1942099072
ADHK,Galax urceolata,1942099072
UFHF,Galax urceolata,1942099072
KVFU,Diospyros malabarica,1052487691
AVJK,Cavendishia cuatrecasasii,2127874910
WXVX,Ledum palustre,2091535128
LRTN,Monotropa uniflora,2127874910
PPPZ,Rhododendron scopulorum,2091535128
SERM,Sarcodes sanguinea,2127874910
YSRZ,Fouquieria macdougalii,1942099072
VKJD,Maesa lanceolata,1770693640
BNTL,Souroubea exauriculata,1600727422
ODDO,Ardisia humilis,2127893836
DAAD,Ardisia revoluta,2127893836
NGRR,Ternstroemia gymnanthera,1238820038
WVMY,Phlox drummondii,1904807431
HUSX,Roridula gorgonias,1942099072
BEFC,Manilkara zapota,2127862668
OXYP,Sideroxylon reclinatum,1593551307
WRPP,Synsepalum dulcificum,2018126523
AXBO,Sinojackia xylocarpa,1215852787
JPDJ,Symplocos tinctoria,2120474767
CLMX,Escallonia rubra,1133408614
TPEM,Platyspermation crassifolium,1133408614
SZUO,Eucommia ulmoides,1418584722
GIPR,Aucuba japonica,2127884222
MGVU,Allamanda cathartica,1935448241
YFQX,Apocynum androsaemifolium,2018129704
JCLQ,Apocynum androsaemifolium,2018129704
DSUV,Asclepias curassavica,545907171
YADI,Asclepias syriaca,545907171
UOYN,Catharanthus roseus,511348314
JGYZ,Holarrhena pubescens,2055414776
QEHE,Rauvolfia tetraphylla,1834963184
EDEQ,Wrightia natalensis,2026156491
HGSM,Gelsemium sempervirens,2129339691
KPUM,Exacum affine,2088243773
ECTD,Gentiana acaulis,2127885316
GGJD,Strychnos spinosa,1919571616
WQRD,Galium boreale,1347727054
ULGV,Morinda citrifolia,1834967717
ZSGF,Psychotria ipecacuanha,2120471104
PCNH,Psychotria marginata,2120471104
QZZU,Pyrenacantha malvifolia,1878349519
PVGM,Oncotheca balansae,2091527355
PCGJ,Anisacanthus quadrifidus,2104506110
AYIY,Ruellia brittoniana,2127876409
WEAC,Strobilanthes dyeriana,2127876409
XAYK,Kigelia africana,2026157747
TKEK,Mansoa alliacea,1693303800
UTQR,Tabebuia umbellata,2026157747
GDZS,Byblis gigantea,2091527355
DCCI,Calceolaria pinifolia,2091527355
RWKR,Saintpaulia ionantha,1369121630
DTNC,Sinningia tuberosa,1935447210
PUCW,Agastache rugosa,2018119126
UCNM,Ajuga reptans,568247051
FYUH,Lavandula angustifolia,1002161910
SNNC,Leonurus japonicus,1436049681
EAAA,Marrubium vulgare,2127861464
TAGM,Melissa officinalis,1999119046
WHNV,Micromeria fruticosa,2120479829
FUMQ,Nepeta cataria,1935448139
GNPX,Oxera neriifolia,2091536663
RTNA,Oxera pulchella,2091536663
XMBA,Poliomintha bustamanta,2091527897
PHCE,Prunella vulgaris,1511253780
DYFF,Pycnanthemum tenuifolium,2091527897
FDMM,Rosmarinus officinalis,836643369
ATYL,Scutellaria montana,2088256844
BAHE,Solenostemon scutellarioides,2091536575
LRRR,Teucrium chamaedrys,1714236074
IYDF,Thymus vulgaris,1829771093
DMLT,Vitex agnus-castus,2088255834
MXFG,Pinguicula agnata,2055406513
JCMU,Pinguicula caudata,2055406513
KTAR,Chionanthus retusus,1206249280
UEEN,Forestiera segregata,1693292577
MZLD,Ligustrum sinense,2088256425
TORX,Olea europaea,365823312
FAMO,Conopholis americana,1511254394
FROP,Epifagus virginiana,11466954
EJCM,Lindenbergia philippensis,558603845
VYDM,Orobanche fasciculata,1511254394
UMUL,Paulownia fargesii,1770692251
ZRIN,Uncarina grandidieri,378758475
Mimgu,Erythranthe guttata,1031917118
XISJ,Antirrhinum majus,2127859648
CLRW,Bacopa caroliniana,1834979680
GNRI,Digitalis purpurea,1198027999
YKZB,Plantago maritima,959122413
PTBJ,Plantago virginica,1834960326
OWAS,Rehmannia glutinosa,1181492043
WOHL,Schlegelia parasitica,2091527355
EDXZ,Schlegelia violacea,2091527355
EJBY,Anticharis glandulosa,2127875178
XRLM,Buddleja lindleyana,2088256092
GRFT,Buddleja sp.,2088256092
SIBR,Celsia arcturus,2018117982
XXYA,Verbascum sp.,2018117982
COBX,Polypremum procumbens,2091527355
PSHB,Lantana camara,1783499262
MQIV,Phyla dulcis,1783499262
GCFE,Verbena hastata,2055403817
CPOC,Convolvulus arvensis,2026153867
AHRN,Cuscuta pentagona,1511245853
ERWT,Ipomoea coccinea,772657535
QSLH,Ipomoea hederacea,1418582655
OQBM,Ipomoea indica,772657535
NAUM,Ipomoea lindheimeri,772657535
IZNU,Ipomoea lobata,772657535
NHAG,Ipomoea nil,1075059466
EMBR,Ipomoea pubescens,772657535
XQRV,Ipomoea purpurea,157325509
VXKB,Ipomoea purpurea,157325509
ALUC,Ipomoea quamoclit,1693304576
KTWL,Kaliphora madagascariensis,1610631745
BOLZ,Atropa belladonna,28261696
AIOU,Brugmansia sanguinea,1011058203
JNVS,Datura metel,394831081
LWCK,Lycium barbarum,1593550297
OSMU,Lycium sp.,1642523155
MKZR,Nicotiana sylvestris,78102509
GHLP,Solanum dulcamara,1238821214
DLAI,Solanum lasiophyllum,1610631745
Solly,Solanum lycopersicum,544163592
DLJZ,Solanum ptychanthum,1610631745
NMDZ,Solanum sisymbriifolium,1610631745
LQJY,Solanum xanthocarpum,1610631745
HYZL,Akania lucens,1869246541
DZTK,Batis maritima,575770986
Arath,Arabidopsis thaliana,7525012
TZWR,Arabis alpina,575770986
IPWB,Brassica nigra,1041922765
CSUV,Cochlearia officinalis,1002160502
HABV,Draba aizoides,1869250124
GTSV,Draba hispida,1869250997
UVQL,Draba magellanica,1869250997
LAPO,Draba oligosperma,1869250650
LJQF,Draba ossetica,1869250997
BXBF,Draba sachalinensis,1869250997
VMNH,Sinapis alba,1812095584
Carpa,Carica papaya,167391784
VDKG,Cleome gynandra,2026155912
LVUS,Cleome violacea,2026153065
UPZX,Cleome viscosa,2026155912
